

========================================================================================================================================================================================================================================================================================
                                                                                                                 FINAL BENCHMARK RESULTS (RF thresholds: 50/75/90/95%)                                                                                                                  
========================================================================================================================================================================================================================================================================================
Model                               | Hit Rate | Recall@K | MRR    | RF@50-P  | RF@50-R  | RF@50-F1  | RF@75-P  | RF@75-R  | RF@75-F1  | RF@90-P  | RF@90-R  | RF@90-F1  | RF@95-P  | RF@95-R  | RF@95-F1  | RougeF1  | BertF1   | Unans.Acc
openai/gpt-5.1                      | 1.000    | 0.668    | 0.792  | 0.642    | 0.709    | 0.646     | 0.623    | 0.696    | 0.631     | 0.553    | 0.619    | 0.560     | 0.412    | 0.441    | 0.423     | 0.535    | 0.654    | 1.000  
openai/gpt-5.1                      | 0.833    | 0.578    | 0.722  | 0.744    | 0.714    | 0.699     | 0.744    | 0.714    | 0.699     | 0.549    | 0.536    | 0.521     | 0.435    | 0.431    | 0.431     | 0.539    | 0.701    | 1.000  
openai/gpt-4.1-mini                 | 1.000    | 0.568    | 0.732  | 0.703    | 0.687    | 0.664     | 0.685    | 0.675    | 0.650     | 0.423    | 0.439    | 0.411     | 0.308    | 0.350    | 0.312     | 0.430    | 0.667    | 0.500  
openai/gpt-4.1-mini                 | 1.000    | 0.637    | 0.774  | 0.729    | 0.669    | 0.669     | 0.699    | 0.645    | 0.642     | 0.497    | 0.477    | 0.465     | 0.412    | 0.421    | 0.397     | 0.485    | 0.680    | 0.500  
openai/gpt-4.1-mini                 | 1.000    | 0.665    | 0.778  | 0.650    | 0.625    | 0.608     | 0.614    | 0.601    | 0.579     | 0.430    | 0.408    | 0.396     | 0.351    | 0.343    | 0.326     | 0.423    | 0.621    | 0.500  
openai/gpt-4.1-mini                 | 1.000    | 0.624    | 0.778  | 0.716    | 0.623    | 0.629     | 0.689    | 0.599    | 0.604     | 0.496    | 0.441    | 0.437     | 0.336    | 0.338    | 0.313     | 0.443    | 0.642    | 0.500  
openai/gpt-4.1-mini                 | 1.000    | 0.665    | 0.757  | 0.675    | 0.592    | 0.601     | 0.648    | 0.568    | 0.576     | 0.510    | 0.462    | 0.459     | 0.414    | 0.401    | 0.386     | 0.466    | 0.618    | 0.500  
========================================================================================================================================================================================================================================================================================


